and	and	7410	en
as	as	6770	en
are	are	6740	en
at	at	6700	en
an	an	6530	en
all	all	6520	en
about	about	6400	en
also	also	6190	en
after	after	6110	en
any	any	6070	en
am	am	5780	en
around	around	5770	en
always	always	5760	en
another	another	5740	en
again	again	5700	en
against	against	5680	en
away	away	5620	en
assistant	assistant	5600	en
already	already	5550	en
anything	anything	5550	en
actually	actually	5490	en
american	american	5490	en
area	area	5460	en
able	able	5430	en
ago	ago	5420	en
almost	almost	5390	en
along	along	5380	en
anyone	anyone	5380	en
air	air	5370	en
ask	ask	5340	en
age	age	5320	en
among	among	5310	en
act	act	5300	en
although	although	5300	en
asked	asked	5300	en
art	art	5290	en
according	according	5280	en
available	available	5280	en
across	across	5250	en
action	action	5250	en
america	america	5220	en
account	account	5210	en
above	above	5200	en
april	april	5190	en
answer	answer	5170	en
added	added	5160	en
al	al	5160	en
alone	alone	5160	en
average	average	5160	en
areas	areas	5150	en
amount	amount	5130	en
attention	attention	5110	en
amazing	amazing	5100	en
august	august	5100	en
add	add	5090	en
article	article	5090	en
attack	attack	5090	en
army	army	5060	en
australia	australia	5060	en
access	access	5050	en
allowed	allowed	5030	en
album	album	5020	en
addition	addition	5010	en
ahead	ahead	5010	en
allow	allow	5010	en
anti	anti	5010	en
association	association	5010	en
ass	ass	5000	en
absolutely	absolutely	4980	en
additional	additional	4980	en
agree	agree	4970	en
ability	ability	4960	en
announced	announced	4960	en
asking	asking	4960	en
author	author	4950	en
annual	annual	4940	en
anymore	anymore	4940	en
active	active	4930	en
administration	administration	4930	en
approach	approach	4930	en
australian	australian	4930	en
africa	africa	4920	en
awesome	awesome	4920	en
activities	activities	4910	en
address	address	4910	en
analysis	analysis	4910	en
anyway	anyway	4910	en
associated	associated	4890	en
advice	advice	4880	en
agreement	agreement	4880	en
award	award	4880	en
agency	agency	4870	en
avoid	avoid	4870	en
activity	activity	4860	en
app	app	4860	en
application	application	4860	en
accept	accept	4850	en
actual	actual	4850	en
appear	appear	4850	en
attempt	attempt	4850	en
agreed	agreed	4840	en
airport	airport	4840	en
animals	animals	4840	en
appears	appears	4840	en
americans	americans	4830	en
appeared	appeared	4830	en
acting	acting	4820	en
actions	actions	4820	en
african	african	4820	en
arms	arms	4820	en
agent	agent	4810	en
animal	animal	4810	en
apply	apply	4810	en
authority	authority	4810	en
adult	adult	4800	en
apparently	apparently	4800	en
artist	artist	4800	en
arrived	arrived	4790	en
