ale	ale	6750	pl
api	api	5900	pl
aby	aby	5870	pl
albo	albo	5870	pl
az	aż	5640	pl
asystent	asystent	5600	pl
ani	ani	5590	pl
and	and	5280	pl
akcji	akcji	5130	pl
autor	autor	5050	pl
artykul	artykuł	5030	pl
al	al	4980	pl
art	art	4930	pl
akurat	akurat	4920	pl
armii	armii	4870	pl
akcja	akcja	4860	pl
atak	atak	4840	pl
andrzej	andrzej	4770	pl
angielski	angielski	4770	pl
ameryki	ameryki	4750	pl
aktualnie	aktualnie	4730	pl
ataku	ataku	4720	pl
administracji	administracji	4710	pl
angielskiego	angielskiego	4710	pl
artykulu	artykułu	4710	pl
azji	azji	4680	pl
afryki	afryki	4670	pl
album	album	4660	pl
ang	ang	4660	pl
angielsku	angielsku	4660	pl
adres	adres	4650	pl
akcje	akcje	4650	pl
artykuly	artykuły	4650	pl
anna	anna	4640	pl
adam	adam	4630	pl
auto	auto	4630	pl
autora	autora	4630	pl
akt	akt	4620	pl
armia	armia	4600	pl
all	all	4590	pl
artykulow	artykułów	4590	pl
absolutnie	absolutnie	4580	pl
autorstwa	autorstwa	4580	pl
ameryce	ameryce	4570	pl
amerykanski	amerykański	4570	pl
aresztowany	aresztowany	4570	pl
artykule	artykule	4560	pl
alkoholu	alkoholu	4550	pl
auta	auta	4550	pl
angielskim	angielskim	4540	pl
anglii	anglii	4540	pl
australii	australii	4540	pl
agencji	agencji	4530	pl
am	am	4530	pl
amerykanskich	amerykańskich	4530	pl
artystow	artystów	4520	pl
as	as	4510	pl
akademii	akademii	4500	pl
amerykanskiej	amerykańskiej	4500	pl
anty	anty	4500	pl
aplikacji	aplikacji	4500	pl
ah	ah	4480	pl
aha	aha	4480	pl
amerykanskiego	amerykańskiego	4480	pl
akcje	akcję	4470	pl
amerykanskie	amerykańskie	4470	pl
analizy	analizy	4470	pl
alez	ależ	4460	pl
aborcji	aborcji	4450	pl
ach	ach	4440	pl
an	an	4440	pl
automatycznie	automatycznie	4440	pl
autorem	autorem	4440	pl
agencja	agencja	4430	pl
anime	anime	4430	pl
afryce	afryce	4420	pl
amerykanie	amerykanie	4420	pl
are	are	4420	pl
autorzy	autorzy	4420	pl
artysta	artysta	4410	pl
at	at	4410	pl
albumu	albumu	4390	pl
aktywnosci	aktywności	4380	pl
autobus	autobus	4380	pl
autorka	autorka	4380	pl
alex	alex	4370	pl
andrzeja	andrzeja	4370	pl
ak	ak	4360	pl
autorow	autorów	4360	pl
alkohol	alkohol	4350	pl
aparat	aparat	4350	pl
analiza	analiza	4340	pl
angeles	angeles	4340	pl
apple	apple	4340	pl
ad	ad	4320	pl
aktywnie	aktywnie	4320	pl
aktywnosc	aktywność	4320	pl
amerykanska	amerykańska	4320	pl
ataki	ataki	4300	pl
air	air	4290	pl
archiwum	archiwum	4290	pl
armie	armię	4290	pl
