akcja	akcja	4860	pl
anna	anna	4640	pl
autora	autora	4630	pl
armia	armia	4600	pl
autorstwa	autorstwa	4580	pl
auta	auta	4550	pl
aha	aha	4480	pl
agencja	agencja	4430	pl
artysta	artysta	4410	pl
autorka	autorka	4380	pl
andrzeja	andrzeja	4370	pl
analiza	analiza	4340	pl
amerykanska	amerykańska	4320	pl
adama	adama	4280	pl
agnieszka	agnieszka	4260	pl
ameryka	ameryka	4240	pl
atmosfera	atmosfera	4220	pl
australia	australia	4170	pl
aleksandra	aleksandra	4160	pl
aplikacja	aplikacja	4150	pl
aktualizacja	aktualizacja	4130	pl
administracja	administracja	4110	pl
aktorka	aktorka	4100	pl
akademia	akademia	4090	pl
alfa	alfa	4050	pl
adwokata	adwokata	4040	pl
aresztowania	aresztowania	4030	pl
aaa	aaa	4020	pl
amerykanska	amerykańską	4020	pl
aa	aa	4010	pl
america	america	3990	pl
armia	armią	3990	pl
atakuja	atakują	3990	pl
afera	afera	3980	pl
alicja	alicja	3980	pl
anglia	anglia	3970	pl
aniola	anioła	3970	pl
agata	agata	3930	pl
afryka	afryka	3910	pl
agenta	agenta	3900	pl
aktora	aktora	3900	pl
aktualna	aktualna	3900	pl
ala	ala	3900	pl
aborcja	aborcja	3890	pl
ambasadora	ambasadora	3890	pl
artystka	artystka	3890	pl
atrakcyjna	atrakcyjna	3890	pl
aka	aka	3880	pl
architektura	architektura	3880	pl
akcja	akcją	3870	pl
angielska	angielska	3870	pl
artystyczna	artystyczna	3870	pl
ambasada	ambasada	3860	pl
asia	asia	3860	pl
alternatywa	alternatywą	3850	pl
ana	ana	3850	pl
ania	ania	3850	pl
aktywna	aktywna	3840	pl
alternatywa	alternatywa	3840	pl
artysta	artystą	3830	pl
argentyna	argentyna	3820	pl
ankieta	ankieta	3800	pl
artystyczna	artystyczną	3800	pl
austria	austria	3800	pl
andrea	andrea	3790	pl
angela	angela	3760	pl
awaria	awaria	3760	pl
azja	azja	3760	pl
acta	acta	3750	pl
autorka	autorką	3750	pl
akta	akta	3740	pl
anita	anita	3730	pl
arena	arena	3730	pl
artura	artura	3730	pl
arcybiskupa	arcybiskupa	3720	pl
atrakcja	atrakcją	3720	pl
aktorka	aktorką	3710	pl
aleja	aleja	3710	pl
androida	androida	3690	pl
arka	arka	3680	pl
aresztowana	aresztowana	3670	pl
adriana	adriana	3660	pl
asystenta	asystenta	3650	pl
ada	ada	3640	pl
autostrada	autostrada	3640	pl
alexa	alexa	3630	pl
arabia	arabia	3630	pl
akceptuja	akceptują	3620	pl
alexandra	alexandra	3620	pl
angola	angola	3620	pl
arizona	arizona	3620	pl
akceptacja	akceptacja	3600	pl
absolutna	absolutną	3590	pl
agresja	agresja	3590	pl
alma	alma	3590	pl
alpha	alpha	3580	pl
animacja	animacja	3580	pl
architekta	architekta	3580	pl
abrahama	abrahama	3560	pl
atomowa	atomowa	3560	pl
adaptacja	adaptacja	3550	pl
aktywna	aktywną	3550	pl
anna	anną	3550	pl
ateista	ateistą	3540	pl
aurora	aurora	3540	pl
archiwa	archiwa	3530	pl
atrakcyjna	atrakcyjną	3530	pl
absolwentka	absolwentka	3520	pl
allaha	allaha	3520	pl
australijska	australijska	3520	pl
absolutna	absolutna	3510	pl
agora	agora	3510	pl
analiza	analizą	3510	pl
aneta	aneta	3510	pl
administracja	administracją	3490	pl
amerykanina	amerykanina	3490	pl
augusta	augusta	3490	pl
awantura	awantura	3490	pl
agresja	agresją	3480	pl
alana	alana	3480	pl
adolfa	adolfa	3470	pl
alternatywna	alternatywna	3470	pl
arabska	arabska	3470	pl
apteka	apteka	3460	pl
aaaa	aaaa	3450	pl
acha	acha	3450	pl
amelia	amelia	3450	pl
audycja	audycja	3450	pl
africa	africa	3440	pl
alberta	alberta	3440	pl
amanda	amanda	3440	pl
arogancja	arogancja	3430	pl
atomowa	atomową	3430	pl
alina	alina	3420	pl
alleluja	alleluja	3410	pl
autostrada	autostradą	3410	pl
administratora	administratora	3400	pl
aga	aga	3400	pl
agencja	agencją	3400	pl
apokalipsa	apokalipsa	3400	pl
artystka	artystką	3400	pl
agresywna	agresywna	3390	pl
angelina	angelina	3390	pl
automatyczna	automatyczną	3390	pl
aktywnoscia	aktywnością	3380	pl
alternatywna	alternatywną	3380	pl
